trade_index,equity
0,50.0
1,54.118524590163936
2,57.881857923497265
3,58.280118793062485
4,64.12869022163392
5,66.43479411773781
6,69.20290222584592
7,71.50900612194981
8,65.50900612194981
9,64.50900612194981
10,63.50900612194981
11,66.88448999291755
12,63.88448999291755
13,62.88448999291755
14,55.88448999291755
15,50.88448999291755
16,45.88448999291755
17,48.62448999291755
18,50.864489992917555
19,55.981989992917555
20,51.981989992917555
21,59.760171811099376
22,54.760171811099376
23,49.760171811099376
24,44.760171811099376
25,47.01049439174454
26,49.93478010603025
27,56.72811343936358
28,63.83097058222073
29,70.93382772507788
30,84.37382772507787
31,100.81382772507787
32,92.81382772507787
33,84.81382772507787
34,74.81382772507787
35,67.81382772507787
36,64.81382772507787
37,61.81382772507787
38,59.81382772507787
39,55.81382772507787
40,51.81382772507787
41,49.81382772507787
42,46.81382772507787
43,43.81382772507787
44,45.578909692290985
45,46.980727874109164
46,51.64809629516179
47,56.987187204252706
48,60.417187204252706
49,51.417187204252706
50,55.04457850860054
51,58.85899027330642
52,62.96649027330642
53,63.962697169858146
54,69.74557852579035
55,74.58414995436178
56,75.03219343262265
57,81.79719343262265
58,69.79719343262265
59,70.79340032917437
60,72.02692974093908
61,73.81717364337811
62,75.0543829457037
63,76.03392840024915
64,82.22231549702335
65,88.98731549702335
66,95.4592827101381
67,97.37810623954987
68,95.37810623954987
69,99.45185623954987
70,97.45185623954987
71,90.45185623954987
72,99.78659308165513
73,85.78659308165513
74,86.5932597483218
75,87.01551781283793
76,96.93097235829248
77,104.24452074538925
78,89.24452074538925
79,74.24452074538925
80,66.24452074538925
81,58.24452074538925
82,50.24452074538925
83,52.437735031103536
84,53.839553212921714
85,55.76718033156578
86,51.76718033156578
87,47.76718033156578
88,53.09432318870864
89,58.92795955234501
90,53.92795955234501
91,52.92795955234501
92,46.92795955234501
93,44.92795955234501
94,40.92795955234501
95,38.92795955234501
96,39.81840731353904
97,40.70885507473307
98,41.73573007473307
99,44.278671251203654
100,41.278671251203654
101,44.091574477010106
102,47.7815744770101
103,51.54490781034343
104,56.04270442051292
105,61.16020442051292
106,65.36565896596747
107,72.23020442051292
108,78.53494126261819
109,82.34935302732407
110,76.34935302732407
111,71.34935302732407
112,66.34935302732407
113,69.42997802732407
114,72.36997802732407
115,76.9463416636877
116,77.49395035933988
117,87.68395035933987
118,96.40739863520194
119,82.40739863520194
120,68.40739863520194
121,60.40739863520194
122,57.40739863520194
123,60.220301861008394
124,65.75530186100839
125,72.61984731555384
126,77.02984731555384
127,83.89439277009929
128,94.78491908588876
129,102.66104811814682
130,94.66104811814682
131,87.66104811814682
132,93.54465467552387
133,86.54465467552387
134,93.9260339858687
135,100.11442108264289
136,106.58638829575764
137,116.22452388897798
138,120.580497914952
139,103.580497914952
140,86.580497914952
141,91.25322518767928
142,92.69219070492065
143,98.7667361594661
144,104.84128161401156
145,102.84128161401156
146,89.84128161401156
147,100.98716396695274
148,92.98716396695274
149,90.98716396695274
150,93.12232525727532
151,97.60232525727533
152,90.60232525727533
153,78.60232525727533
154,84.13732525727532
155,82.13732525727532
156,87.78513775727532
157,95.43382628186549
158,93.43382628186549
159,86.43382628186549
160,79.43382628186549
161,78.43382628186549
162,74.43382628186549
163,71.43382628186549
164,76.10119470291812
165,65.10119470291812
166,72.87937652109994
167,62.87937652109994
168,58.87937652109994
169,65.37991706164048
170,67.85205991878334
171,70.45317102989445
172,73.34317102989445
173,85.56442102989445
174,91.44442102989444
175,96.78710759705862
176,101.62362933618905
177,93.62362933618905
178,81.62362933618905
179,89.40257670461011
180,92.79924337127677
181,96.35067194270535
182,82.35067194270535
183,88.8226391558201
184,96.86442487010581
185,106.25890762872649
186,91.25890762872649
187,82.25890762872649
188,77.25890762872649
189,79.11655468755002
190,85.03036421135954
191,91.50233142447429
192,96.64233142447429
193,119.7623314244743
194,122.0923314244743
195,122.36969984552692
196,104.36969984552692
197,97.36969984552692
198,91.36969984552692
199,86.36969984552692
200,82.36969984552692
201,85.04104312910901
202,92.75155160368529
203,100.13155160368528
204,85.13155160368528
205,70.13155160368528
206,62.13155160368528
207,54.13155160368528
208,55.82684572133234
209,57.78684572133234
210,62.08779810228472
211,62.33290448526344
212,64.93401559637455
213,55.93401559637455
214,58.17401559637455
215,57.17401559637455
216,56.17401559637455
217,55.17401559637455
218,54.17401559637455
219,57.88930971402161
220,55.88930971402161
221,64.03680971402162
222,68.24226425947616
223,73.61845473566663
224,67.61845473566663
225,61.61845473566663
226,55.61845473566663
227,57.84457413865171
228,59.050288424365995
229,59.935805665745306
230,65.07614464879616
231,65.95773555788708
232,67.70106889122042
233,69.31228840341554
234,76.62300268912982
235,90.06300268912982
236,88.06300268912982
