trade_index,equity
0,50.0
1,54.118524590163936
2,57.881857923497265
3,58.280118793062485
4,64.12869022163392
5,66.43479411773781
6,69.20290222584592
7,71.50900612194981
8,65.50900612194981
9,64.50900612194981
10,63.50900612194981
11,66.88448999291755
12,63.88448999291755
13,62.88448999291755
14,66.74948999291755
15,59.749489992917546
16,51.749489992917546
17,43.749489992917546
18,49.22948999291754
19,53.70948999291754
20,59.558061421488965
21,54.558061421488965
22,53.558061421488965
23,63.28078869421624
24,58.28078869421624
25,53.28078869421624
26,48.28078869421624
27,51.09369192002269
28,54.749049062879834
29,61.54238239621317
30,68.64523953907032
31,75.74809668192746
32,89.18809668192746
33,105.62809668192746
34,97.62809668192746
35,89.62809668192746
36,86.62809668192746
37,77.62809668192746
38,71.62809668192746
39,68.62809668192746
40,65.62809668192746
41,63.62809668192746
42,59.62809668192746
43,55.62809668192746
44,53.62809668192746
45,49.62809668192746
46,45.62809668192746
47,47.39317864914057
48,48.79499683095875
49,55.018154725695595
50,61.11997290751378
51,65.03997290751377
52,56.03997290751377
53,59.667364211861596
54,63.48177597656748
55,68.10271347656747
56,69.2096100282916
57,75.63503375710516
58,81.01122423329564
59,81.50905032025216
60,88.88905032025215
61,75.88905032025215
62,76.99594687197629
63,78.36653510727041
64,80.33580339995333
65,81.69673363251147
66,82.77423363251147
67,89.52520137444695
68,96.90520137444695
69,103.96552924329941
70,106.0214115962406
71,104.0214115962406
72,108.0951615962406
73,106.0951615962406
74,96.0951615962406
75,90.0951615962406
76,107.20425250533151
77,121.20635776848941
78,103.20635776848941
79,104.15969110182274
80,104.65872335988726
81,116.09963245079635
82,124.5383421282157
83,106.5383421282157
84,88.5383421282157
85,119.0408421282157
86,108.0408421282157
87,99.0408421282157
88,97.0408421282157
89,95.0408421282157
90,87.0408421282157
91,79.0408421282157
92,71.0408421282157
93,74.69619927107284
94,77.03256290743647
95,80.24527477184326
96,73.24527477184326
97,68.24527477184326
98,63.245274771843256
99,66.47440520662586
100,70.59598415399428
101,81.25026986827999
102,92.91754259555272
103,82.91754259555272
104,81.91754259555272
105,72.91754259555272
106,68.91754259555272
107,61.91754259555272
108,57.91754259555272
109,59.698438117940775
110,61.47933364032883
111,63.53308364032883
112,67.34749540503472
113,62.34749540503472
114,60.34749540503472
115,58.34749540503472
116,61.7693135868529
117,64.9984440216355
118,68.8634440216355
119,74.4892504732484
120,81.2542504732484
121,87.70567904467697
122,95.41618751925324
123,104.18904466211038
124,111.19813557120128
125,123.40177193483764
126,134.61019298746922
127,141.39136945805745
128,129.39136945805745
129,120.39136945805745
130,111.39136945805745
131,109.39136945805745
132,114.01230695805745
133,118.42230695805745
134,125.2868524126029
135,114.2868524126029
136,115.18293936912464
137,130.46793936912465
138,143.21759454153846
139,122.21759454153846
140,101.21759454153846
141,89.21759454153846
142,84.21759454153846
143,88.15565905766749
