trade_index,equity
0,1000.0
1,1088.2540983606557
2,1168.8969555035128
3,1177.6089120252518
4,1306.2774834538232
5,1356.2430678694075
6,1416.218743545083
7,1466.1843279606674
8,1342.1843279606674
9,1311.1843279606674
10,1280.1843279606674
11,1355.5701344122804
12,1279.5701344122804
13,1250.5701344122804
14,1366.5201344122804
15,1216.5201344122804
16,1052.5201344122804
17,888.5201344122804
18,967.8401344122803
19,1192.5201344122804
20,1376.2001344122805
21,1526.8008486979948
22,1397.8008486979948
23,1351.8008486979948
24,1602.6472123343583
25,1466.6472123343583
26,1330.6472123343583
27,1194.6472123343583
28,1264.9697929795195
29,1356.3537215509482
30,1551.6620548842816
31,1755.8691977414244
32,1960.0763405985672
33,2331.9163405985673
34,2786.7563405985675
35,2550.7563405985675
36,2314.7563405985675
37,2230.7563405985675
38,1996.7563405985675
39,1817.7563405985675
40,1740.7563405985675
41,1663.7563405985675
42,1593.7563405985675
43,1569.7563405985675
44,1545.7563405985675
45,1430.7563405985675
46,1315.7563405985675
47,1260.7563405985675
48,1241.7563405985675
49,1148.7563405985675
50,1055.7563405985675
51,1102.2368324018462
52,1139.1513778563917
53,1288.5071673300758
54,1435.7135309664395
55,1530.2835309664395
56,1301.2835309664395
57,1393.5804874881787
58,1490.636075723473
59,1605.132638223473
60,1631.698155464852
61,1788.478494447903
62,1919.6575420669506
63,1931.8044985886897
64,2109.5394985886896
65,1793.5394985886896
66,1820.3263951404138
67,1853.4946304345312
68,1903.263410922336
69,1937.6578295269874
70,1964.8891931633511
71,2130.2879028407706
72,2311.0979028407705
73,2484.075935627656
74,2535.061817980597
75,2470.061817980597
76,2586.163692980597
77,2519.163692980597
78,2274.163692980597
79,2120.163692980597
80,2599.2182384351427
81,2941.491922645669
82,2500.491922645669
83,2525.2052559790022
84,2538.1417075919053
85,2827.978071228269
86,3041.7587163895596
87,2585.7587163895596
88,2129.7587163895596
89,2948.2424663895595
90,2668.2424663895595
91,2440.2424663895595
92,2368.2424663895595
93,2296.2424663895595
94,2090.2424663895595
95,1884.2424663895595
96,1678.2424663895595
97,1769.626394960988
98,1828.035485870079
99,1908.3532824802485
100,1727.3532824802485
101,1595.3532824802485
102,1463.3532824802485
103,1560.2271955237268
104,1683.8745639447793
105,1937.8017068019221
106,2215.8717068019223
107,1963.8717068019223
108,1918.8717068019223
109,1688.8717068019223
110,1588.8717068019223
111,1411.8717068019223
112,1311.8717068019223
113,1355.5036471004298
114,1399.1355873989373
115,1449.4524623989373
116,1541.4221682812902
117,1410.4221682812902
118,1364.4221682812902
119,1318.4221682812902
120,1410.8112591903812
121,1497.9977809295117
122,1602.3527809295117
123,1737.3721357682214
124,1897.2721357682212
125,2049.9559452920307
126,2232.4379791903357
127,2440.0622649046213
128,2611.0840830864395
129,2909.310446722803
130,3183.2162361964874
131,3348.9312361964876
132,3064.9312361964876
133,2830.9312361964876
134,2596.9312361964876
135,2542.9312361964876
136,2659.9949861964874
137,2771.714986196487
138,2945.6168043783055
139,2666.6168043783055
140,2688.570934813088
141,3075.790934813088
142,3385.137831364812
143,2878.137831364812
144,2371.137831364812
145,2087.137831364812
146,1963.137831364812
147,2062.152024913199
148,2252.187024913199
149,2509.22611582229
150,2674.35611582229
151,2931.395206731381
152,2653.395206731381
153,2375.395206731381
154,2625.877311994539
155,2846.971505542926
156,2605.971505542926
157,2406.971505542926
158,2576.419374395385
159,2358.419374395385
160,2571.8083399126267
161,2750.708985073917
162,2937.8076735985073
163,3220.526317666304
164,3344.287226757213
165,2861.287226757213
166,2378.287226757213
167,2511.45995402994
168,2553.0792643747677
169,2731.5774461929495
170,2910.0756280111314
171,2835.0756280111314
172,2453.0756280111314
173,2761.4450397758374
174,2527.4450397758374
175,2468.4450397758374
176,2577.338265582289
177,2727.4182655822888
178,2508.4182655822888
179,2170.4182655822888
180,2731.596447400471
181,2983.1314474004707
182,2906.1314474004707
183,2623.1314474004707
184,2784.350822400471
185,3029.697215843094
