market_id,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,label,token_side,oof_prob
0x016c8daa6f700c1b7f02ced268b2b0d712f1e44ada1847cae948afeea9d70be3,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,0.0017500288365862756,1,0.06165069408212759,297.0,11,0,0,NONE,0.45312660932540894
0x018b7df38e9f11962799906f26e14ad283c4ab91ad2fdb0e20af7a41446ea7c2,0.53,0.45999999999999996,0.010000000000000009,163.1,406.96,-0.4277795319790899,-0.0012577293306828077,-1,0.08205873727785702,297.6,1,1,0,NONE,0.5562052726745605
0x018ce084849c8f88972142ef7315e90c28fe0b793d899459e6d5a5c0a42a3a98,0.45999999999999996,0.53,0.010000000000000009,231.05,338.42,-0.18854373364707536,0.0003998417586256067,-1,0.11535964676292063,295.79999999999995,20,3,1,YES,0.6770350933074951
0x01b654d80363aeffa24c0a5324411999f1462197dbf1b2b358510aa952410b5b,0.44999999999999996,0.54,0.010000000000000064,132.8,3.58,0.9474996333773279,0.003198820147176918,1,0.07651456766680811,294.6,6,0,1,YES,0.5461217761039734
0x01b918ce7fa7be79f8edb04c4e9753097ba0ecb20031e94710881b69615c17d5,0.44999999999999996,0.54,0.010000000000000064,177.78,179.99,-0.006177152919473427,-0.008794292152621262,-1,0.2197639334392201,298.8,19,2,0,NONE,0.2871699035167694
0x01e32b7f61ceec5509df987c6505484beca9160a913b4028469e6a8a73310db5,0.51,0.48,0.010000000000000009,212.46,314.3,-0.19333282709393274,0.009187778784172445,-1,0.12161043582384624,296.40000000000003,14,0,0,NONE,0.4631902575492859
0x01e9f3c46103a848096b8e3194f60efe9df23e40789398bff456408fcb269167,0.54,0.45999999999999996,0.0,42.2,226.11,-0.6854384853341285,-0.0015990229330270047,1,0.10425933884836573,295.2,4,2,1,NO,0.6320524215698242
0x01f075a527fe98b6ac9d6748ff14bdb51ac71b77714ec63fc2ec4cfb7600ec28,0.495,0.495,0.010000000000000009,100.0,100.0,0.0,-0.002760289909936891,1,0.13517981617155475,298.8,0,4,1,NO,0.6507264375686646
0x02025e899420d518ab454b973b3b2141ba45805211d5ef7d6d2cddab39506e31,0.5,0.49,0.010000000000000009,211.53,564.29,-0.4546930989146967,-0.00199910088438624,-1,0.10120007755037806,294.0,16,2,1,YES,0.6443227529525757
0x02050471ddce71ab945d57c01ea4881c1dc875caa4d19b814dc6ce77ba192dcf,0.5,0.49,0.010000000000000009,25.59,490.86,-0.9009003775776938,-0.0019991449257323675,1,0.10476980531841673,294.6,19,1,1,YES,0.7415149211883545
