market_id,timestamp,slug,ttr_seconds,spread_pct,spread_blocked_reason,yes_price_t0,no_price_t0,clob_spread_t0,yes_depth_t0,no_depth_t0,depth_imbalance_t0,price_velocity_30s,depth_trend_30s,btc_realized_vol_prior_30m,ttr_at_signal,market_hour_utc,day_of_week,shadow_signal_yes,shadow_prob_yes,shadow_kelly_yes,shadow_tier_yes,shadow_signal_no,shadow_prob_no,shadow_kelly_no,shadow_tier_no,actual_outcome,signal_direction
0xaa118412ff364a5f7fde29289bb07f408ccb29f96142a7215deb32f01a73d57a,2026-06-09T23:53:17.828216+00:00,btc-updown-5m-1781049000,102.2,0.131397,TOO_WIDE,0.01,0.01,0.98,1081.06,13.39,0.975529,-0.0,0.0,0.373021,102.2,23,1,SKIP,0.380196,0.3722,LOW,SKIP,0.321055,0.3123,LOW,WIN,YES
0xaeaf027fb4748ab73e48af5d2b0616c8424125677f6a7caa418c1ad7c9b30a53,2026-06-08T12:57:14.435413+00:00,btc-updown-5m-1780923300,165.6,0.18059,TOO_WIDE,0.01,0.01,0.89,5184.81,14.71,0.994342,-0.00366667,0.0,0.673672,165.6,12,0,SKIP,0.508579,0.5022,LOW,SKIP,0.418379,0.4109,LOW,WIN,YES
0xb2311fe2c0663fe76eb229bc8824c427068df9c74f83f64429e4b04f27ba18b0,2026-06-11T02:41:37.368254+00:00,btc-updown-5m-1781145600,202.6,0.121207,TOO_WIDE,0.01,0.01,0.63,590.03,228.53,0.441636,-0.01233333,0.0,0.545644,202.6,2,3,SKIP,0.380608,0.3726,LOW,SKIP,0.318781,0.31,LOW,WIN,YES
0xb5c96cfb0f9fbe7df1d1bddf638a9a368b10eaa2e8c05946de94648887ea3216,2026-06-11T02:01:21.108141+00:00,btc-updown-5m-1781143200,218.9,0.123186,TOO_WIDE,0.01,0.01,0.64,16.83,387.81,-0.916824,-0.01566667,0.0,0.721285,218.9,2,3,SKIP,0.326667,0.318,LOW,SKIP,0.382248,0.3743,LOW,LOSE,NO
0xb6bfc34c8e6f884e34fc3f2d866cb3c53b6a407e210c3498e4f9db97b2b63791,2026-06-11T04:05:02.401884+00:00,btc-updown-5m-1781150700,297.6,0.491301,TOO_WIDE,0.01,0.01,0.46,154.81,407.92,-0.449787,0.0,0.0,0.639087,297.6,4,3,SKIP,0.337262,0.3287,LOW,SKIP,0.394391,0.3866,LOW,LOSE,NO
0xb771ff819f156772e4a008f3ad450b5c7df3827c25a51a12a38a76ea5772c687,2026-06-07T12:43:10.807845+00:00,btc-updown-5m-1780836000,109.2,0.249835,TOO_WIDE,0.495,0.495,0.01,100.0,100.0,0.0,-0.01616667,0.0,0.631782,109.2,12,6,SKIP,0.603515,-0.0531,MEDIUM,SKIP,0.603515,-0.0531,MEDIUM,LOSE,YES
0xb8019b32204dd5927fa279157e105fe21672098af3cf1768c6e345682f3c21ba,2026-06-10T22:07:17.129558+00:00,btc-updown-5m-1781129100,162.9,0.122337,TOO_WIDE,0.01,0.01,0.72,1490.6,94.21,0.881107,-0.00933333,0.0,0.988837,162.9,22,2,SKIP,0.344701,0.3362,LOW,SKIP,0.304858,0.2959,LOW,WIN,YES
0xb80856f8d3c9461ac649ab70713f13c12559501b1b655adf9667358aabab4f33,2026-06-09T19:18:45.398842+00:00,btc-updown-5m-1781032500,74.6,0.133178,TOO_WIDE,0.01,0.01,0.65,47.21,117.26,-0.425907,-0.01766667,0.0,0.264069,74.6,19,1,SKIP,0.293571,0.2844,LOW,SKIP,0.383949,0.376,LOW,WIN,NO
0xb9866b191a71a1e0491349b2c2ebdb64954bd42f28bfcda668828663e20bd0ef,2026-06-09T16:23:47.335349+00:00,btc-updown-5m-1781022000,72.7,0.16577,TOO_WIDE,0.01,0.01,0.96,8616.12,24.29,0.994378,-0.001,0.0,0.645338,72.7,16,1,SKIP,0.373628,0.3655,LOW,SKIP,0.315498,0.3067,LOW,WIN,YES
0xbc469ac83a6ebf5e9d81fc7fb659c18ed84f13db41e0b5c3fdc4260661e76797,2026-06-08T15:18:31.445412+00:00,btc-updown-5m-1780931700,88.6,0.122882,TOO_WIDE,0.01,0.01,0.02,87.93,6006.33,-0.971144,-0.03266667,0.0,0.323991,88.6,15,0,SKIP,0.405337,0.3977,LOW,SKIP,0.465392,0.4585,LOW,WIN,NO
